GeneID	SRR10416714	SRR10416715	SRR10416716	SRR10416711	SRR10416712	SRR10416713
653635	2.42492623779638	2.53222657082286	2.20041052054502	1.99831001642805	1.95235970906113	1.48976576623775
729737	3.50834067520981	3.58875169257042	3.60714764818408	2.83273283347688	2.93142232494336	2.97854587825501
102723897	2.73790215176097	2.94715351144052	3.14408302060385	2.28590500970791	2.54251827640269	2.28745538406944
102465432	2.92605022149166	2.6761503462621	2.71781509108386	2.73106668942883	2.68699163682043	2.83429065379619
100133331	1.96870139645722	1.76254402241487	1.66496830771695	2.29888361081547	1.9665865009196	2.30043419655321
100288069	0.522154601904708	-0.281391415272955	-0.136696460901664	0.568886239675721	0.501318038499305	0.653657856541331
643837	3.00610549206215	2.91337305788445	2.76460312844989	4.06067174198716	3.83038330109253	3.90117269394664
26155	6.99513680261555	6.96591811368286	6.67321785660222	8.17069085495019	8.07393567428509	7.94292936000052
339451	3.40666087145963	3.60999631788996	3.56245112726477	3.15883096287996	3.11505661439858	3.16039205175384
84069	2.49001071940828	2.4308135214381	2.5900355205732	3.32665022003812	3.30617798797124	3.22307980492642
84808	0.583085629640893	0.479172799689671	0.0036549359078369	1.26833211840508	1.07440424116082	1.37175269992237
57801	4.21215674074697	4.40150869238074	4.11764938603536	4.34347086273577	4.52406358054994	4.30051374863489
9636	4.69698959162044	4.82501973021176	4.61926970263685	5.66541098215661	5.60256250405088	5.4468138824343
375790	9.64311228699668	9.75262832274367	9.73381041173329	9.75172645485255	9.76491193009662	9.72545171140026
105369174	2.13053300411639	1.73186343874746	2.16097988350515	1.3454171280647	1.12601960124372	1.32170489108099
105378948	0.612612534832459	0.515652796729538	1.01781058132169	-1.56669372791803	-1.25725365220216	-0.0656559513518616
401934	1.77338232515442	1.9340708445978	1.76039977081725	-0.361653207476594	-0.806544112558555	-0.730791901233218
54991	4.42474693494031	4.41122303486994	4.3325332933781	4.74777322001835	4.73821899049853	4.49087243237278
51150	7.02289272226827	7.05536547401471	6.9903767597648	7.81181400047546	7.71777013194779	7.62504733323939
126792	4.22655113413654	4.38188154370243	4.0300838491953	4.86149090509265	4.91551743711509	4.71097483025717
118424	5.35509196084912	5.3328275250177	5.31089674343893	6.02988384921849	6.03685599125928	6.02853396855616
116983	5.221335300077	5.33154916291158	5.35960509980852	5.76580990903535	5.79023009423991	5.73309103878932
126789	3.20820213047343	3.40649466668912	3.05547012802137	4.31180795393349	4.49491270660428	4.1722372613212
54973	6.25310904241056	6.22607960135697	6.19832613350371	6.77067416973595	6.87096239051207	6.69633470046871
80772	4.99341442411883	5.01697202989198	4.72106312626064	5.63374834017355	5.45522173504241	5.29783287293777
1855	6.1174418488694	6.17425030982211	6.01489953553787	6.36524336161076	6.42082064379518	6.22426430575121
54587	2.72444169603039	2.73921190660111	2.72459271689374	1.55466670511177	2.00844399586473	2.41227070974446
54998	5.41497397732171	5.49234367055075	5.25931984214342	6.46505355045339	6.28195430272587	6.13651722667426
81669	6.24429368235391	6.27011823560965	6.50134066237669	6.5904248806925	6.72273126831935	6.682768820942
148413	3.9161319835006	3.67997391592727	3.62898712751613	3.92912247370507	4.17476736715167	3.77201951837098
55052	5.39917629777066	5.25404745437795	5.17647062218023	6.37293504481818	6.38750219621962	6.23866462136491
441869	3.62521828989972	3.80314234492745	3.80876788675606	1.29448744037665	1.15115091036225	1.51225265750176
64856	6.2102952893153	6.3154412010143	6.10790691247479	4.80802360795997	4.85753309948105	4.64636483506321
219293	0.13141224739915	0.0523842407412296	-0.406016046397978	0.976831490477592	0.816132092874544	0.338374516712974
83858	4.19517972622561	4.27952884789418	3.81195361714163	6.12039652077452	6.17574494921463	5.93384146485327
55210	5.76565640993868	5.73791198467389	5.48564733584176	6.96487162785991	6.78727363518148	6.62203233556056
29101	6.33731605849047	6.43513782883454	6.22486073667129	7.22453793536612	7.11281330304023	7.04517940050625
643988	3.68550748183831	3.97673161598367	3.62898712751613	5.2368057943746	5.22606770563068	5.06669259797005
142678	5.34962248525686	5.49462994402329	5.34208265134517	5.73629771271962	5.77717310276089	5.61078286469165
984	4.71070740448449	4.59930758220546	4.64807552698456	5.74343589324442	5.7578746901689	5.5990127265908
728661	4.10196656288183	4.34434506167251	4.10471872225647	4.70940525325017	4.89520805594903	4.69386250463257
728642	3.64678567836653	3.83235880958151	3.88637390207757	4.50898363469032	4.41676127787781	4.57071247486472
9906	4.69871146838487	4.73506216014108	4.77429521278844	4.24966399853886	4.34506413355209	4.35751233634432
65220	5.73996527152035	5.82860391562834	5.74845533105649	5.97332601941979	5.97134242566296	5.87649387343833
2782	8.55064045919272	8.56044751977647	8.56041442030263	8.86082042377563	8.79642160689373	8.76656224557248
5590	4.89020267273835	4.94690472347097	4.97094383529795	4.73350454070967	4.7236337240482	4.66655477286527
100506504	0.458536290560546	0.717053250905119	1.14451485482912	0.285654706299512	0.501318038499305	-0.36022712969717
199990	4.21937188975459	4.16935638392978	4.14316813582566	4.37445376141834	4.29238572502423	3.99197492428349
6497	6.51297983332532	6.58481497184683	6.40125381973525	7.39740455137817	7.40069032676291	7.3451921504458
79906	2.26677227088036	2.53222657082286	2.36561503378827	2.54750403350492	2.58001544989537	2.17919415332139
11079	6.18164600875745	6.29065705601391	6.19832613350371	6.94436870125095	6.98061313230427	6.87938444193104
5192	4.18784225743598	4.10796202059912	3.98845369520843	4.59568079711354	4.68113017558338	4.46228394387269
9651	2.79052218920558	3.49136977888025	2.31262135343567	3.77974193600539	3.71714339411663	4.43606079719473
55229	1.6788447618573	-0.104872427581884	-0.406016046397978	1.18689471197293	1.87904202044304	2.06214498238032
8764	-0.894851959198838	-0.556371481792463	2.21972893402999	1.15869429301528	1.57916141699979	0.732387468612049
127281	-0.0417697504075004	0.441746386363545	3.24652721616954	0.336891672636685	-0.186770356470435	0.653657856541331
27237	6.03328857710044	6.05770595645204	6.11372720709061	6.29815341378876	6.39606848121915	6.2744600034652
1953	3.8771266646366	3.93693515278083	4.25037928808503	4.57449003193377	4.57602350820961	4.73507419059698
127262	5.58474045153418	5.46927942617296	5.57648810581423	6.37216771923437	6.32261786142301	6.33642027932286
49856	4.08626679624107	4.09295100153914	3.9968763826617	4.39575256986113	4.39325591801609	4.25457027327751
7161	0.552941763292018	0.893751443448158	0.13155475871754	1.71818027601381	2.26018576267509	2.12185630101832
57470	5.1450861048095	5.29790781789739	4.99776937596874	6.22439350282934	6.22835156182065	6.15092036558154
9731	5.32419232975099	5.263463243128	5.1003455185908	5.63758475224893	5.56097366874063	5.51242437477137
1677	2.93191813389915	2.71588564917087	2.66241636659793	2.96888876207852	2.79457703873406	2.83429065379619
339448	4.88869493694948	4.78635158874283	4.79214933569081	5.36111935172725	5.31214655517548	5.32666663887245
261734	3.52396446875856	3.53200544502735	3.60347537517403	3.88246497097213	3.95691615002785	3.8133526202001
8514	2.96090494645404	2.8857673879518	2.81628069316099	3.02464117515193	3.21973137664056	3.21624750582296
6146	8.76929329929197	8.75882667581031	8.78857318678021	9.04180029160061	8.98348837535461	9.02333150240161
388591	4.70214906889838	4.79007924575533	4.92754522657343	4.44328622730913	4.47016212705458	4.51890540089732
23463	7.3893244862428	7.36437731554202	7.23902401913289	8.03134734407424	7.97778277706616	7.99000428125649
387509	7.02701043430118	7.09357417074018	6.97731217662769	6.68552623141616	6.75843301904878	6.69018420050321
11332	5.18984901961968	5.13011665598675	4.89486878465388	6.48931716604553	6.41369911148843	6.24287279727127
54626	1.01766338834586	1.00056830219163	1.5475657411683	2.29888361081547	2.63449485505878	2.50488796315084
83715	3.88319655237822	3.86099532779835	3.99967305313816	1.75631863066715	1.483466726829	1.70026475349944
8718	2.19050316982831	2.37233750323472	2.416730900987	3.54390931798855	3.68308664321891	3.5509143112577
57449	4.37392481905623	4.47513765694467	4.48001244906052	5.63118505271978	5.70793894190745	5.71624056727682
79707	5.24627422219292	5.38675227997295	4.98794421832155	6.37905900140403	6.28195430272587	6.30778273368919
3104	3.99952104027688	4.1578618824593	4.29204099233827	4.56108598200547	4.41416840337287	4.3851888140356
9903	5.64938234484633	5.7816319312863	5.58861274797986	7.26395530279092	7.26302004939117	7.05574280834512
148479	4.81599285298356	4.89937913116235	4.92901307805707	4.69229298012011	4.58757607770988	4.77048483047867
90326	2.97233853987556	2.86471086221618	3.02284848185803	2.81477302679924	3.06964587772269	3.05711844440937
55735	5.44092500481931	5.37563128017625	5.26048625791303	6.83835306076753	6.7731783515174	6.72730076320522
23261	4.17552959975315	4.42087240339044	4.33031329013374	4.23960239361452	4.16246043610035	4.17928067947305
9341	6.25076354150664	6.3724959646179	6.31406729781974	7.10539512807626	7.05614834512223	7.09816894400573
8863	4.06239208120985	3.94364459932069	3.94268286889446	4.7045367088608	4.78111040558711	4.83880071553822
3604	3.06603074938805	2.76973825140992	2.75801130891856	0.525376204923128	1.20013713123343	0.482004522353997
11315	6.52806958888613	6.56808663205808	6.54507143806746	7.34908858554094	7.35003978551787	7.24846810854585
54206	7.54099802451613	7.53346691318803	7.74656579882534	6.25385170563651	6.24376662484585	6.20541265423226
473	6.93614622183243	6.85506968794025	6.86178653615475	6.30218743693287	6.3445718118639	6.49724486354347
2023	10.444129125083	10.4578074934485	10.3367282945483	11.3690349990049	11.3337193533247	11.1601999811766
